,transaction_id,tx_datetime,customer_id,terminal_id,tx_amount,tx_time_seconds,tx_time_days,TX_FRAUD,TX_FRAUD_SCENARIO
1613815,1613815,2024-02-06 10:11:33,4984,9371,541.16,5825493,67,0.1,1
1429042,1429042,2024-01-29 14:01:50,3541,1454,30.43,5148110,59,0.0,0
1456253,1456253,2024-01-30 16:03:51,4050,950,1173.19,5241831,60,0.2,1
1286954,1286954,2024-01-23 14:56:07,1839,171,122.01,4632967,53,0.0,0
1994093,1994093,2024-02-22 08:09:44,409,2986,1291.64,7200584,83,0.2,1
509081,509081,2023-12-22 07:58:28,610,4012,730.12,1843108,21,0.1,1
1956843,1956843,2024-02-20 14:37:38,3019,912,932.54,7051058,81,0.1,1
1947323,1947323,2024-02-20 09:01:42,1469,4839,1585.75,7030902,81,0.2,1
1114003,1114003,2024-01-16 11:59:34,935,5073,49.94,4017574,46,0.0,0
308346,308346,2023-12-13 17:49:37,447,2644,3699.71,1100977,12,0.6000000000000001,1
2014940,2014940,2024-02-23 05:22:28,3018,6373,664.83,7276948,84,0.1,1
883413,883413,2024-01-06 17:39:06,4859,4801,1011.17,3173946,36,0.2,1
1876417,1876417,2024-02-17 09:33:10,1161,2240,264.47,6773590,78,0.0,0
1674974,1674974,2024-02-08 18:58:02,526,3269,1523.07,6029882,69,0.2,1
1578621,1578621,2024-02-04 18:22:42,2282,1713,1072.85,5682162,65,0.2,1
2113480,2113480,2024-02-27 08:01:35,184,4311,16.8,7632095,88,0.0,0
713699,713699,2023-12-30 16:00:21,3977,3638,1835.22,2563221,29,0.2,1
1980694,1980694,2024-02-21 14:30:08,3166,5732,794.09,7137008,82,0.1,1
69839,69839,2023-12-03 19:12:04,211,8440,2034.31,241924,2,0.4,1
1790924,1790924,2024-02-13 15:37:26,4793,6157,1341.73,6449846,74,0.2,1
362815,362815,2023-12-16 05:54:18,1901,4122,3299.99,1317258,15,0.6000000000000001,1
879434,879434,2024-01-06 14:39:12,4958,7104,336.85,3163152,36,0.0,0
1740938,1740938,2024-02-11 14:10:45,4743,3421,922.3,6271845,72,0.1,1
1730749,1730749,2024-02-11 08:04:51,1962,7876,220.7,6249891,72,0.0,0
865048,865048,2024-01-06 04:49:09,3682,7566,2769.82,3127749,36,0.4,1
1528445,1528445,2024-02-02 16:20:52,1705,2872,244.55,5502052,63,0.0,0
224396,224396,2023-12-10 10:07:14,2367,4335,175.02,814034,9,0.0,0
1973438,1973438,2024-02-21 10:14:38,3298,5005,929.05,7121678,82,0.1,1
80044,80044,2023-12-04 09:47:29,3334,5415,2646.31,294449,3,0.4,1
1959968,1959968,2024-02-20 16:51:46,2311,3240,93.46,7059106,81,0.0,0
1157463,1157463,2024-01-18 09:20:15,675,973,1611.84,4180815,48,0.2,1
1627438,1627438,2024-02-06 19:34:59,648,5504,212.93,5859299,67,0.0,0
975115,975115,2024-01-10 14:37:45,3480,2435,275.36,3508665,40,0.0,0
1636975,1636975,2024-02-07 09:35:50,4607,3821,212.8,5909750,68,0.0,0
1742003,1742003,2024-02-11 14:50:38,3109,1444,1935.72,6274238,72,0.2,1
146830,146830,2023-12-07 05:58:55,1718,9363,9.96,539935,6,0.0,0
833702,833702,2024-01-04 16:12:41,2865,8359,2350.85,2995961,34,0.4,1
1118024,1118024,2024-01-16 14:21:33,3863,4560,134.77,4026093,46,0.0,0
1988736,1988736,2024-02-22 01:18:50,2501,3103,1261.93,7175930,83,0.2,1
23593,23593,2023-12-01 22:32:58,1533,1911,1497.07,81178,0,0.2,1
1505227,1505227,2024-02-01 16:59:22,4295,3829,386.1,5417962,62,0.0,0
1021471,1021471,2024-01-12 13:48:44,4188,1064,1495.41,3678524,42,0.2,1
1125121,1125121,2024-01-16 21:16:25,3187,9782,1678750.0,4050985,46,15.900000000000002,3
1681089,1681089,2024-02-09 06:43:41,1835,5274,1237.27,6072221,70,0.2,1
660769,660769,2023-12-28 12:54:03,2081,7685,1745.6,2379243,27,0.2,1
1128551,1128551,2024-01-17 05:25:56,4864,396,884.7,4080356,47,0.1,1
712914,712914,2023-12-30 15:26:47,2025,1895,1973.07,2561207,29,0.2,1
1974277,1974277,2024-02-21 10:44:55,4712,3685,296.64,7123495,82,0.0,0
2115251,2115251,2024-02-27 09:14:35,4111,7778,910.05,7636475,88,0.1,1
16249,16249,2023-12-01 14:26:41,2004,9379,1247.3,52001,0,0.2,1
1077929,1077929,2024-01-14 22:51:32,4365,5420,271.52,3883892,44,0.0,0
1666541,1666541,2024-02-08 12:42:30,2804,4011,2653.0,6007350,69,0.4,1
15423,15423,2023-12-01 13:54:24,1127,1983,2757.44,50064,0,0.4,1
1468225,1468225,2024-01-31 08:44:35,3210,8024,393.61,5301875,61,0.0,0
1014911,1014911,2024-01-12 09:58:15,267,6229,3.88,3664695,42,0.0,0
807404,807404,2024-01-03 14:34:24,3674,9924,1373.75,2903664,33,0.2,1
1380439,1380439,2024-01-27 13:42:37,3262,7454,41.31,4974157,57,0.0,0
345543,345543,2023-12-15 10:47:05,322,9756,637.4,1248425,14,0.1,1
2131789,2131789,2024-02-27 22:27:05,1701,2569,1151.94,7684025,88,0.2,1
359084,359084,2023-12-15 21:29:14,2259,7485,281.44,1286954,14,0.0,0
1334159,1334159,2024-01-25 14:35:29,1847,6374,1596.66,4804529,55,0.2,1
1852016,1852016,2024-02-16 09:21:15,2445,6953,1153.46,6686475,77,0.2,1
143351,143351,2023-12-06 22:24:49,4237,772,1779.82,512689,5,0.2,1
1308561,1308561,2024-01-24 13:30:07,3526,4545,1551.16,4714207,54,0.2,1
1414987,1414987,2024-01-29 03:58:11,1872,5542,359.32,5111891,59,0.0,0
842886,842886,2024-01-05 06:46:38,1233,6447,221.16,3048398,35,0.0,0
1646581,1646581,2024-02-07 15:10:05,1320,7305,2107.18,5929805,68,0.4,1
1602969,1602969,2024-02-05 18:57:15,3254,3328,1239.4,5770635,66,0.2,1
782786,782786,2024-01-02 14:08:38,3567,2282,544.88,2815718,32,0.1,1
724640,724640,2023-12-31 07:57:38,859,3995,662.27,2620658,30,0.1,1
352125,352125,2023-12-15 14:33:38,2886,9353,342.92,1262018,14,0.0,0
1957365,1957365,2024-02-20 14:58:06,831,3470,2212.73,7052286,81,0.4,1
977804,977804,2024-01-10 16:30:13,4965,3243,2274.71,3515413,40,0.4,1
27268,27268,2023-12-02 06:14:02,615,4098,63.37,108842,1,0.0,0
981161,981161,2024-01-10 20:12:01,4483,2971,897.68,3528721,40,0.1,1
1851188,1851188,2024-02-16 08:49:09,2005,2607,3069.29,6684549,77,0.6000000000000001,1
1868079,1868079,2024-02-16 22:12:49,2347,1817,142.5,6732769,77,0.0,0
1434588,1434588,2024-01-29 18:09:58,2369,9633,1641.41,5162998,59,0.2,1
1073263,1073263,2024-01-14 16:26:11,3462,6861,241.4,3860771,44,0.0,0
1054666,1054666,2024-01-14 01:52:12,82,4465,29.37,3808332,44,0.0,0
1817975,1817975,2024-02-14 18:15:04,179,6115,633.46,6545704,75,0.1,1
1031561,1031561,2024-01-13 03:48:36,547,8039,1429.59,3728916,43,0.2,1
1653545,1653545,2024-02-08 00:49:30,158,5555,2473.8,5964570,69,0.4,1
538390,538390,2023-12-23 11:13:14,1310,4629,1515.44,1941194,22,0.2,1
331823,331823,2023-12-14 17:18:35,4956,7322,1870.53,1185515,13,0.2,1
443542,443542,2023-12-19 12:07:42,3012,7348,95.21,1598862,18,0.0,0
1005266,1005266,2024-01-11 20:34:49,1117,8579,2392.72,3616489,41,0.4,1
1742628,1742628,2024-02-11 15:15:47,4547,7558,265.54,6275747,72,0.0,0
1350407,1350407,2024-01-26 10:07:32,975,423,162.53,4874852,56,0.0,0
2085047,2085047,2024-02-26 02:53:49,3910,4404,543.64,7527229,87,0.1,1
351630,351630,2023-12-15 14:15:22,3992,4906,1147.54,1260922,14,0.2,1
2148158,2148158,2024-02-28 14:11:52,382,849,359.86,7740712,89,0.0,0
1876901,1876901,2024-02-17 09:51:12,3552,3202,1183.37,6774672,78,0.2,1
827038,827038,2024-01-04 12:04:42,31,5045,17.18,2981082,34,0.0,0
826130,826130,2024-01-04 11:34:57,4090,92,13.28,2979297,34,0.0,0
307343,307343,2023-12-13 16:57:32,4726,2072,2608.05,1097852,12,0.4,1
969960,969960,2024-01-10 11:36:59,4604,3936,2723.92,3497819,40,0.4,1
1842561,1842561,2024-02-15 19:11:44,3874,509,343.37,6635504,76,0.0,0
932346,932346,2024-01-08 18:47:11,3767,785,88.13,3350831,38,0.0,0
1783745,1783745,2024-02-13 11:19:06,554,5884,249.03,6434346,74,0.0,0
1284887,1284887,2024-01-23 13:40:48,4051,79,1784.52,4628448,53,0.2,1
1271241,1271241,2024-01-23 03:39:39,4906,5793,645.29,4592379,53,0.1,1
1197499,1197499,2024-01-19 21:43:56,1826,6645,2018.75,4311836,49,0.4,1
1286655,1286655,2024-01-23 14:44:49,2346,8915,654.64,4632289,53,0.1,1
705431,705431,2023-12-30 10:56:43,1177,3969,1087.18,2545003,29,0.2,1
998091,998091,2024-01-11 14:14:30,1868,828,515.44,3593670,41,0.1,1
1752503,1752503,2024-02-12 06:20:40,2883,8005,200.19,6330040,73,0.0,0
385951,385951,2023-12-17 05:03:37,4156,8277,1534.42,1400617,16,0.2,1
1800271,1800271,2024-02-14 06:19:53,4035,1827,1384.25,6502793,75,0.2,1
1032830,1032830,2024-01-13 05:30:06,2931,9846,89.22,3735006,43,0.0,0
152826,152826,2023-12-07 10:17:56,2267,1843,2261.55,555476,6,0.4,1
491750,491750,2023-12-21 12:09:31,3807,100,941.91,1771771,20,0.1,1
2081532,2081532,2024-02-25 18:23:49,4464,7757,848.54,7496629,86,0.1,1
798584,798584,2024-01-03 09:22:58,855,4849,896.88,2884978,33,0.1,1
392803,392803,2023-12-17 10:18:51,925,5046,1159.12,1419531,16,0.2,1
2081515,2081515,2024-02-25 18:21:47,625,4323,944.19,7496507,86,0.1,1
1611779,1611779,2024-02-06 08:54:07,223,9862,1277.48,5820847,67,0.2,1
1805521,1805521,2024-02-14 10:03:45,2857,6880,1270.57,6516225,75,0.2,1
1290100,1290100,2024-01-23 17:20:35,1021,9102,1761.34,4641635,53,1.2,2
519792,519792,2023-12-22 14:19:01,1179,3597,44.76,1865941,21,0.0,0
1819709,1819709,2024-02-14 20:35:58,1839,1899,72.71,6554158,75,0.0,0
768219,768219,2024-01-02 03:19:29,2393,130,97.84,2776769,32,0.0,0
518544,518544,2023-12-22 13:35:36,1793,699,1664.2,1863336,21,0.2,1
1744997,1744997,2024-02-11 17:04:53,3001,8501,3025.69,6282293,72,0.6000000000000001,1
1059986,1059986,2024-01-14 08:11:59,4709,1240,215.91,3831119,44,0.0,0
716484,716484,2023-12-30 18:20:38,4733,5869,1756.85,2571638,29,0.2,1
1721580,1721580,2024-02-10 17:30:43,818,1181,936.52,6197443,71,0.1,1
1143824,1143824,2024-01-17 15:27:51,865,3812,695.44,4116471,47,0.1,1
176157,176157,2023-12-08 10:02:12,752,3713,22.4,640932,7,0.0,0
835697,835697,2024-01-04 17:52:41,2832,6846,206.75,3001961,34,0.0,0
1012686,1012686,2024-01-12 08:33:36,3110,2667,418.31,3659616,42,0.0,0
1980084,1980084,2024-02-21 14:07:27,2511,2242,77.33,7135647,82,0.0,0
1842156,1842156,2024-02-15 18:40:04,665,2805,615.01,6633604,76,0.1,1
1745021,1745021,2024-02-11 17:06:04,2759,7297,64.14,6282364,72,0.0,0
406922,406922,2023-12-17 21:30:15,240,8888,225.35,1459815,16,0.0,0
1317791,1317791,2024-01-24 23:51:55,1386,7112,1499.83,4751515,54,0.2,1
1704323,1704323,2024-02-10 06:09:18,2114,2867,1294.95,6156558,71,0.2,1
1557305,1557305,2024-02-03 23:03:48,3348,3246,1404.32,5612628,64,0.2,1
1635386,1635386,2024-02-07 08:34:58,2262,5758,2385.74,5906098,68,0.4,1
1329591,1329591,2024-01-25 11:56:37,1064,3478,1011.43,4794997,55,0.2,1
1092375,1092375,2024-01-15 13:12:57,2008,7354,568.91,3935577,45,0.1,1
1350982,1350982,2024-01-26 10:27:51,2709,5485,446.42,4876071,56,0.0,0
1050826,1050826,2024-01-13 17:45:20,2648,7623,32.99,3779120,43,0.0,0
1903682,1903682,2024-02-18 11:34:47,3097,9723,1899.62,6867287,79,0.2,1
471463,471463,2023-12-20 14:20:48,4774,6683,2764.57,1693248,19,0.4,1
930112,930112,2024-01-08 16:37:49,183,6375,787.08,3343069,38,0.1,1
2091576,2091576,2024-02-26 09:20:53,3931,5628,1001.2,7550453,87,0.2,1
2052133,2052133,2024-02-24 14:11:51,3771,4018,692.41,7395111,85,0.1,1
1917159,1917159,2024-02-19 02:42:39,4270,9919,1899.56,6921759,80,0.2,1
1894479,1894479,2024-02-18 04:48:29,1783,7915,1534.27,6842909,79,0.2,1
633176,633176,2023-12-27 10:53:22,4211,5182,158.69,2285602,26,0.0,0
1781998,1781998,2024-02-13 10:19:30,4247,2398,773.61,6430770,74,0.1,1
1085665,1085665,2024-01-15 09:20:19,3860,2627,1696750.0,3921619,45,15.900000000000002,3
1576661,1576661,2024-02-04 16:33:53,4085,2489,969.17,5675633,65,0.1,1
1801663,1801663,2024-02-14 07:30:26,1913,4184,302.58,6507026,75,0.0,0
1651135,1651135,2024-02-07 19:05:44,4624,9109,457.61,5943944,68,0.0,0
1586267,1586267,2024-02-05 07:39:59,588,4671,1912.58,5729999,66,0.2,1
941079,941079,2024-01-09 08:38:13,3231,417,173.28,3400693,39,0.0,0
1057001,1057001,2024-01-14 05:36:46,669,2902,1014.8,3821806,44,0.2,1
116813,116813,2023-12-05 18:03:04,390,6675,135.45,410584,4,0.0,0
982494,982494,2024-01-11 00:09:29,3083,8432,418.8,3542969,41,0.0,0
1178141,1178141,2024-01-19 06:48:14,1014,9391,1283.58,4258094,49,0.2,1
1559673,1559673,2024-02-04 04:59:32,1750,9151,1572.48,5633972,65,0.2,1
1178284,1178284,2024-01-19 06:56:00,1533,4187,237.73,4258560,49,0.0,0
42944,42944,2023-12-02 16:16:13,4568,144,257.92,144973,1,0.0,0
1123187,1123187,2024-01-16 18:13:44,4864,7855,721.59,4040024,46,0.1,1
306610,306610,2023-12-13 16:21:39,3223,1754,681.8,1095699,12,0.1,1
29136,29136,2023-12-02 07:48:58,2765,2921,976.83,114538,1,0.1,1
2154442,2154442,2024-02-28 19:26:16,61,6377,479.07,7759576,89,0.0,0
749806,749806,2024-01-01 08:45:03,938,1065,925.42,2709903,31,0.1,1
331351,331351,2023-12-14 16:54:22,703,3396,314.78,1184062,13,0.0,0
2058071,2058071,2024-02-24 18:50:50,621,8446,1829.45,7411850,85,0.2,1
367176,367176,2023-12-16 09:16:45,782,7700,358.71,1329405,15,0.0,0
1433743,1433743,2024-01-29 17:23:46,3305,7612,948.02,5160226,59,0.1,1
346020,346020,2023-12-15 11:03:55,2295,9282,1635.91,1249435,14,0.2,1
1203571,1203571,2024-01-20 08:03:43,1510,6142,277.5,4349023,50,0.0,0
1072794,1072794,2024-01-14 16:04:13,398,4783,254.83,3859453,44,0.0,0
107704,107704,2023-12-05 11:53:51,891,3221,1263.93,388431,4,0.2,1
1419639,1419639,2024-01-29 08:28:28,3099,4116,863.79,5128108,59,0.1,1
397772,397772,2023-12-17 13:08:51,3422,3681,277.55,1429731,16,0.0,0
1813723,1813723,2024-02-14 14:54:21,597,4637,2728.49,6533661,75,0.4,1
241803,241803,2023-12-11 05:03:18,4800,6828,73.36,882198,10,0.0,0
750480,750480,2024-01-01 09:11:57,1014,9777,1387.45,2711517,31,0.2,1
2069393,2069393,2024-02-25 10:20:36,299,8989,60.38,7467636,86,0.0,0
1594531,1594531,2024-02-05 12:44:16,3213,9905,757.15,5748256,66,0.1,1
1835123,1835123,2024-02-15 13:23:14,1675,9591,3129.12,6614594,76,0.6000000000000001,1
808975,808975,2024-01-03 15:36:12,65,543,50.62,2907372,33,0.0,0
720256,720256,2023-12-31 03:10:41,2042,557,775.66,2603441,30,0.1,1
1500306,1500306,2024-02-01 13:37:22,4418,1234,260.85,5405842,62,0.0,0
1428443,1428443,2024-01-29 13:40:39,1006,2814,1136.48,5146839,59,0.2,1
1675246,1675246,2024-02-08 19:16:23,3922,3126,143.19,6030983,69,0.0,0
1381722,1381722,2024-01-27 14:29:20,645,1913,757.0,4976960,57,0.1,1
1927125,1927125,2024-02-19 11:17:33,3910,2037,586.46,6952653,80,0.1,1
1913388,1913388,2024-02-18 18:02:58,3440,8941,417.04,6890578,79,0.0,0
753467,753467,2024-01-01 10:59:43,4370,2915,698.83,2717983,31,0.1,1
441614,441614,2023-12-19 11:01:03,4586,950,2295.37,1594863,18,0.4,1
1728123,1728123,2024-02-11 05:50:53,4824,751,185.13,6241853,72,0.0,0
14509,14509,2023-12-01 13:22:21,3077,4095,45.41,48141,0,0.0,0
1768245,1768245,2024-02-12 16:33:43,4306,4387,2131.28,6366823,73,0.4,1
323003,323003,2023-12-14 11:38:15,3543,844,124.88,1165095,13,0.0,0
773548,773548,2024-01-02 08:40:50,3618,5141,361.2,2796050,32,0.0,0
1920222,1920222,2024-02-19 06:41:52,1469,8018,712.51,6936112,80,0.1,1
1331764,1331764,2024-01-25 13:09:49,144,2939,250.49,4799389,55,0.0,0
242938,242938,2023-12-11 06:19:51,628,6993,3908.65,886791,10,0.6000000000000001,1
1924773,1924773,2024-02-19 09:56:54,3338,7348,218.79,6947814,80,0.0,0
715201,715201,2023-12-30 17:10:39,3774,3252,2644.48,2567439,29,0.4,1
513913,513913,2023-12-22 10:58:56,3938,8898,1513.06,1853936,21,0.2,1
1128008,1128008,2024-01-17 04:48:54,4306,6431,4651.3,4078134,47,0.9000000000000001,1
320433,320433,2023-12-14 10:09:27,3955,5403,395.82,1159767,13,0.0,0
1232316,1232316,2024-01-21 11:02:19,3195,4916,861.29,4446139,51,0.1,1
937144,937144,2024-01-09 05:22:37,1310,2175,1058.0,3388957,39,0.2,1
599831,599831,2023-12-26 01:44:03,2101,6762,728.75,2166243,25,0.1,1
1403959,1403959,2024-01-28 13:18:26,4334,1833,312.78,5059106,58,0.0,0
1845934,1845934,2024-02-16 03:42:07,3571,8627,860.65,6666127,77,0.1,1
132077,132077,2023-12-06 12:09:33,1075,8696,66.93,475773,5,0.0,0
1465836,1465836,2024-01-31 07:01:30,3773,5229,571.81,5295690,61,0.1,1
1053416,1053416,2024-01-13 21:20:01,4652,1366,217.33,3792001,43,0.0,0
642075,642075,2023-12-27 16:17:01,429,720,453.52,2305021,26,0.0,0
1874275,1874275,2024-02-17 08:11:22,1595,1287,2089.82,6768682,78,0.4,1
1474322,1474322,2024-01-31 12:20:31,4149,965,484.88,5314831,61,0.0,0
308437,308437,2023-12-13 17:54:36,3108,9611,22.85,1101276,12,0.0,0
1505313,1505313,2024-02-01 17:03:36,3515,2731,90.62,5418216,62,0.0,0
1964707,1964707,2024-02-21 01:19:17,3315,84,265.35,7089557,82,0.0,0
1572328,1572328,2024-02-04 13:41:40,1202,7322,1004.98,5665300,65,0.2,1
1604342,1604342,2024-02-05 21:10:18,1931,6819,700.99,5778618,66,0.1,1
95234,95234,2023-12-04 21:50:06,2290,1112,332.22,337806,3,0.0,0
1850625,1850625,2024-02-16 08:26:06,3936,9211,828.06,6683166,77,0.1,1
1881201,1881201,2024-02-17 12:21:31,16,5457,280.54,6783691,78,0.0,0
493388,493388,2023-12-21 13:05:56,3907,2643,713.6,1775156,20,0.1,1
1789893,1789893,2024-02-13 14:56:18,2403,692,684.76,6447378,74,0.1,1
816309,816309,2024-01-04 03:53:20,2923,8522,994.99,2951600,34,0.1,1
1475236,1475236,2024-01-31 12:51:35,4306,5502,2573.95,5316695,61,0.4,1
991781,991781,2024-01-11 10:33:59,4526,4902,2053.16,3580439,41,0.4,1
599681,599681,2023-12-26 01:12:55,652,2813,2544.47,2164375,25,0.4,1
143691,143691,2023-12-06 23:41:58,128,5365,1785.37,517318,5,0.2,1
816021,816021,2024-01-04 03:27:40,4743,2960,1692.06,2950060,34,0.2,1
2139776,2139776,2024-02-28 09:25:38,2732,9893,203.73,7723538,89,0.0,0
301475,301475,2023-12-13 13:03:45,4453,2065,1142.77,1083825,12,0.2,1
673926,673926,2023-12-29 05:36:34,2418,2011,153.81,2439394,28,0.0,0
1664316,1664316,2024-02-08 11:27:12,4793,9292,421.05,6002832,69,0.0,0
1151390,1151390,2024-01-18 03:31:58,1034,7287,1418.1,4159918,48,0.2,1
2098086,2098086,2024-02-26 13:10:03,67,5799,1042.88,7564203,87,0.2,1
2064908,2064908,2024-02-25 07:20:00,1826,1264,1851.62,7456800,86,0.2,1
1575946,1575946,2024-02-04 16:01:13,4,4591,1401.6,5673673,65,0.2,1
704670,704670,2023-12-30 10:27:21,4864,8190,505.75,2543241,29,0.1,1
2101972,2101972,2024-02-26 15:36:10,3299,2171,498.89,7572970,87,0.0,0
1445915,1445915,2024-01-30 09:52:20,1987,3038,1862.71,5219540,60,0.2,1
527897,527897,2023-12-23 00:56:53,4104,3304,1746.33,1904213,22,0.2,1
776503,776503,2024-01-02 10:31:46,2242,4439,1553.8,2802706,32,0.2,1
1436658,1436658,2024-01-29 21:09:38,1518,7135,825.78,5173778,59,0.1,1
